Setting Name,Publication Group,Setting Mitigation (16/10/2023),Setting Mitigation (14/09/2023) [1],Setting Mitigation (30/08/2023),Setting Phase,Type of Setting,Setting Website,URN,LAESTAB,Local Authority,Parliamentary Constituency,Region
Claydon High School,30/08/2023,All pupils in face-to-face education,Mix of face-to-face and remote arrangements,Start of Term Delayed,Secondary,Academy converter,www.claydonhigh.co.uk,144214,9354096,Suffolk,Central Suffolk and North Ipswich,East of England
Cleeve Park School,30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,All pupils in face-to-face education,Secondary,Academy converter,www.cleevepark-tkat.org,138686,3034030,Bexley,Old Bexley and Sidcup,London
Cockermouth School,30/08/2023,RAAC not present,All pupils in face-to-face education,All pupils in face-to-face education,Secondary,Academy converter,http://www.cockermouthschool.org/,142306,9424103,Cumberland,Workington,North West
Corpus Christi Catholic Primary School,30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,All pupils in face-to-face education,Primary,Academy converter,www.corpuschristischool.co.uk,137295,2085202,Lambeth,Streatham,London
Cranbourne,30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,All pupils in face-to-face education,Secondary,Community school,http://www.cranbourne.hants.sch.uk/,116432,8504164,Hampshire,Basingstoke,South East
Danetree Primary School,30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,All pupils in face-to-face education,Primary,Academy converter,www.danetreeschool.org/,138764,9362092,Surrey,Epsom and Ewell,South East
Denbigh School,30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,All pupils in face-to-face education,Secondary,Academy converter,http://www.denbigh.net,136468,8265410,Milton Keynes,Milton Keynes South,South East
Donnington Wood Infant School and Nursery Centre,30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,All pupils in face-to-face education,Primary,Community school,www.donningtonwoodinfants.co.uk,123364,8942041,Telford and Wrekin,The Wrekin,West Midlands
East Bergholt High School,30/08/2023,All pupils in face-to-face education,Mix of face-to-face and remote arrangements,Start of Term Delayed,Secondary,Academy converter,http://www.ebhigh.org.uk,137218,9354097,Suffolk,South Suffolk,East of England
East Tilbury Primary School,30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,All pupils in face-to-face education,Primary,Academy converter,www.easttilburyprimary.thurrock.sch.uk/,138065,8832824,Thurrock,South Basildon and East Thurrock,East of England
Elmstead Primary School,30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,All pupils in face-to-face education,Primary,Academy converter,www.elmsteadprimary.com,149972,8815220,Essex,Harwich and North Essex,East of England
Eversley Primary School,30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,All pupils in face-to-face education,Primary,Community school,http://www.eversley.essex.sch.uk/,114999,8812798,Essex,South Basildon and East Thurrock,East of England
Ferryhill School,30/08/2023,All pupils in face-to-face education,Mix of face-to-face and remote arrangements,Start of Term Delayed,Secondary,Academy converter,www.ferryhill.school,145253,8404150,County Durham,Sedgefield,North East
Godinton Primary School,30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,All pupils in face-to-face education,Primary,Academy converter,http://www.godinton.kent.sch.uk,141754,8862625,Kent,Ashford,South East
Great Leighs Primary School,30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,All pupils in face-to-face education,Primary,Community school,www.greatleighs.essex.sch.uk,114852,8812450,Essex,Saffron Walden,East of England
Great Tey Church of England Voluntary Controlled Primary School,30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,All pupils in face-to-face education,Primary,Voluntary controlled school,www.greatteyprimary.org.uk/,115079,8813025,Essex,Harwich and North Essex,East of England
Hadleigh High School,30/08/2023,All pupils in face-to-face education,Mix of face-to-face and remote arrangements,Start of Term Delayed,Secondary,Academy converter,http://www.hadleighhigh.net/,136918,9354017,Suffolk,South Suffolk,East of England
Harlowbury Primary School,30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,All pupils in face-to-face education,Primary,Academy converter,www.harlowbury.essex.sch.uk/,144664,8812983,Essex,Harlow,East of England
Harwich and Dovercourt High School,30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,All pupils in face-to-face education,Secondary,Academy sponsor led,www.hdhs.org.uk,145061,8814024,Essex,Harwich and North Essex,East of England
Hatfield Heath Primary School,30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,All pupils in face-to-face education,Primary,Academy converter,www.hatfieldheath.essex.sch.uk/,141714,8812520,Essex,Saffron Walden,East of England
Hatfield Peverel St Andrew's Junior School,30/08/2023,Mix of face-to-face and remote arrangements,All pupils in face-to-face education,Start of Term Delayed,Primary,Foundation school,www.hatfieldpeverelstandrews.co.uk,115102,8815279,Essex,Witham,East of England
Henham and Ugley Primary and Nursery School,30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,All pupils in face-to-face education,Primary,Community school,http://www.henhamugley.essex.sch.uk,114975,8812740,Essex,Saffron Walden,East of England
Hillhouse CofE Primary School,30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,All pupils in face-to-face education,Primary,Academy converter,www.hillhouse.essex.sch.uk/,145992,8813256,Essex,Epping Forest,East of England
Hockley Primary School,30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,All pupils in face-to-face education,Primary,Academy converter,www.hockleyprimary.org,146181,8815247,Essex,Rayleigh and Wickford,East of England
Holcombe Grammar School,30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,All pupils in face-to-face education,Secondary,Academy converter,http://www.holcombegrammar.org.uk,136594,8874068,Medway,Chatham and Aylesford,South East
Holy Trinity Catholic Voluntary Academy,30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,All pupils in face-to-face education,Primary,Academy converter,www.holytrinityacademy.co.uk,140727,8913766,Nottinghamshire,Newark,East Midlands
"Holy Trinity CofE Primary School, Eight Ash Green and Aldham",30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,All pupils in face-to-face education,Primary,Voluntary controlled school,www.holytrinityeightashgreen.co.uk/,115075,8813021,Essex,Harwich and North Essex,East of England
Hornsey School for Girls,30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,Start of Term Delayed,Secondary,Community school,http://www.hsg.haringey.sch.uk/,102153,3094029,Haringey,Hornsey and Wood Green,London
Hounsdown School,30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,All pupils in face-to-face education,Secondary,Academy converter,http://www.hounsdown.hants.sch.uk/,137229,8504168,Hampshire,New Forest East,South East
Jerounds Primary Academy,30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,All pupils in face-to-face education,Primary,Academy sponsor led,http://www.netacademies.net/jerounds,145557,8812171,Essex,Harlow,East of England
"Joyce Frankland Academy, Newport",30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,All pupils in face-to-face education,Secondary,Academy converter,http://www.jfan.org.uk/,138734,8815436,Essex,Saffron Walden,East of England
Katherine Semar Infant School,30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,All pupils in face-to-face education,Primary,Academy converter,www.katherinesemar.co.uk,141574,8812717,Essex,Saffron Walden,East of England
Katherine Semar Junior School,30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,All pupils in face-to-face education,Primary,Academy converter,www.katherinesemar.co.uk,141572,8812687,Essex,Saffron Walden,East of England
Katherines Primary Academy and Nursery,30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,All pupils in face-to-face education,Primary,Academy sponsor led,www.katherines.netacademies.net,144823,8812162,Essex,Harlow,East of England
King Ethelbert School,30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,All pupils in face-to-face education,Secondary,Academy converter,http://www.kingethelbert.com/,136584,8864120,Kent,North Thanet,South East
Kingsdown School,30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,Start of Term Delayed,Not applicable,Academy special converter,www.kingsdownschool.org,144692,8827001,Southend-on-Sea,Southend West,East of England
Lambourne Primary School,30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,All pupils in face-to-face education,Primary,Academy converter,www.lambourne.efspt.org,145604,8812690,Essex,Brentwood and Ongar,East of England
Langney Primary Academy,30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,All pupils in face-to-face education,Primary,Academy converter,www.langneyprimary.co.uk,146231,8452130,East Sussex,Eastbourne,South East
Lubbins Park Primary Academy,30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,All pupils in face-to-face education,Primary,Academy sponsor led,https://www.lubbinspark.essex.sch.uk/,143123,8812143,Essex,Castle Point,East of England
Markyate Village School and Nursery,30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,All pupils in face-to-face education,Primary,Community school,http://www.markyate.herts.sch.uk/,117127,9192074,Hertfordshire,Hemel Hempstead,East of England
Mayflower Primary School,30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,All pupils in face-to-face education,Primary,Community school,https://www.mayflower.leicester.sch.uk/,120018,8562250,Leicester,Leicester South,East Midlands
Mersea Island School,30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,All pupils in face-to-face education,Primary,Foundation school,www.merseaschool.org,115311,8815271,Essex,Harwich and North Essex,East of England
Mistley Norman Church of England Primary School,30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,All pupils in face-to-face education,Primary,Academy sponsor led,www.mistleynormancofe.co.uk,141658,8812123,Essex,Harwich and North Essex,East of England
Myatt Garden Primary School,30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,All pupils in face-to-face education,Primary,Community school,http://www.myattgarden.lewisham.sch.uk/,100713,2092869,Lewisham,"Lewisham, Deptford",London
Northampton International Academy,30/08/2023,All pupils in face-to-face education,All pupils in face-to-face education,All pupils in face-to-face education,All-through,Free schools,NA,142485,9414018,West Northamptonshire,Northampton South,East Midlands
